SKU	Product Name	Product Description	Bullet Points	Manufacturer	Brand Name	Price	Currency	In Stock	Image URL	Image URL1	Image URL2	
SC137P	Spyderco Honey Bee Folder	Spyderco Honey Bee Folder has a 2" closed length with a 3Cr stainless blade with thumb hole pull, a stainless handle with etched spider, and it has a lanyard hole.	<ul><li>Closed Length:2"</li><li>Steel Edge:3Cr stainless</li><li>Handle:Stainless handle with etched spider</li></ul>	Spyderco Knives	Spyderco Knives	34.60	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc137pspydercohoneybeefolder.jpg			
BY04P	Byrd Meadowlark Folder Plain Edge	Byrd Meadowlark Folder Plain Edge distributed by Spyderco. This knife has a 3" 440C stainless standard edge clip point blade with thumb slot. Stainless handles with lanyard hole. Stainless pocket clip.	<ul><li>Blade Length:3"</li><li>Steel Edge:440C stainless standard</li><li>Clip:Stainless pocket clip</li></ul>	Spyderco	Spyderco	45.27	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/by04pbyrdmeadowlarkfolderplain.jpg			
BY07P	Byrd Crossbill Distributed	The Byrd Crossbill Distributed by Spyderco is a 4 5/8" closed lockback. It has a 8Cr13MoV stainless curved design standard edge blade with thumb slot. Brushed stainless handles with stainless pocket clip and anyard hole.	<ul><li>Closed Length:4 5/8Ó</li><li>Blade:curved</li><li>Steel Edge:8Cr13MoV</li><li>Finish:brushed</li><li>Handle:stainless</li><li>Clip:stainless</li></ul>	Spyderco	Spyderco	53.27	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/by07pbyrdcrossbilldistributed.jpg			
BY07PS	Byrd Crossbill Distributed	The Byrd Crossbill Distributed by Spyderco is a 4 5/8" closed lockback. It has a 8Cr13MoV stainless partially serrated curved design blade with thumb slot. Brushed stainless handles with stainless pocket clip and lanyard hole.	<ul><li>Closed Length:4 5/8Ó</li><li>Blade:curved partially serrated</li><li>Steel Edge:8Cr13MoV</li><li>Handle:brushed stainless</li></ul>	Spyderco	Spyderco	53.27	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/by07psbyrdcrossbilldistributed.jpg			
BY-05P	Byrd flight	The Byrd flight distributed by Spyderco is a 4 3/4" closed lockback. It has a stainless standard edge blade with thumb slot. Brushed stainless handles with reversible stainless pocket clip. Lanyard hole.	<ul><li>Blade:stainless with thumb slot</li><li>Closed Length:4 3/4"</li><li>Handle:brushed stainless</li><li>Clip:reversible stainless pocket</li><li>Edge:Standard edge</li></ul>	Byrd	Byrd	53.27	CDN	N	http://www.knifezone.ca/pictures/spyderco/images/BY05P.jpg			
BY03P2	Byrd Cara Cara 2	Byrd Cara Cara 2 is a 4 3/4" closed lockback folding knife.It has a 3 5/8" 8Cr13MoV stainless blade with thumb slot and thumb ridge. Also a lanyard slot and stainless pocket clip.The stainless handles are suitable for engraving.However, we do not provide professional engraving service.	<ul><li>Overall Length:4 3/4"</li><li>Blade Length:3 5/8"</li><li>Colour:Locks open to prevent accidental closing</li><li>Steel Edge:8Cr13MoV stainless</li><li>Handle:Stainless steel handles</li><li>Clip:Stainless steel pocket clip</li><li>Extras:Lanyard slot</li></ul>	Spyderco	Spyderco	55.93	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/by03p2byrdcaracara2.jpg			
SC75P3	Spyderco Kiwi 3	Spyderco Kiwi 3 Slip-It Non-Locking Folder knife is 3 3/8" closed in length with a 2 3/8" 8Cr13MoV stainless classically-shaped Wharncliffe blade with thumb hole pull with a Stainless finger grooved handles and it has a lanyard hole.	<ul><li>Blade Length:2 3/8"</li><li>Closed Length:3 3/8"</li><li>Steel Edge:8Cr13MoV stainless</li><li>Handle:Stainless finger grooved handles</li></ul>	Spyderco Knives	Spyderco Knives	59.93	CDN	N	http://www.knifezone.ca/pictures/spyderco/images/sc75p3spydercokiwi3.jpg			
SC303MF	Spyderco Double Stuff Pocket	Spyderco Double Stuff Pocket Stone Measures 5" x 1" x 1/4" with fine grit on one side, medium grit on the other and it comes with leather storage case.		Spyderco Knives	Spyderco Knives	66.60	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc303mfspydercodoublestuffpocket.jpg			
SCLBKS3	plain ladybug 3 pocket knife	It attaches to your keychain and is nearly as small as your car keys, Spyderco&acute;s smallest lightweight knife is the Ladybug. Made of VG-10 stainless steel, the hollow ground blade comes in a SpyderEdge or PlainEdge configuration. This modified clip-point blade style is matched up with a black, lightweight handle of fiberglass-reinforced nylon resin making the entire knife weigh only 0.6 of an ounce (16.4 grams).The LBK3 doesn&acute;t have a clip but rather a lanyard hole for attachment to a keychain or lanyard. Like its larger counterparts (and all Spyderco knives) the Ladybug3 packs tremendous cutting power and can take on both fine and heavy cutting tasks.This Spyderco ladybug 3 pocket knife has an overall length of 4 3/8&quot;. The VG-10 stainless blade is 1 15/16&quot; long and has a plain or non-serrated blade.	<ul><li>Blade:plain edge</li><li>Closed Length:2 7/16"</li><li>Overall Length:4 3/8"</li><li>Blade Length:1 15/16"</li><li>Weight:0.6 oz.</li><li>Steel:VG-10 stainless</li></ul>	Spyderco	Spyderco	79.93	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/plainlady.jpg			
SC122GP	Spyderco Tenacious Folder	Spyderco Tenacious Folder is a standard edge blade 4 3/8" closed linerlock. It has a 8Cr13MoV stainless blade with thumb hole. Black G-10 laminate handles. Lanyard hole and a reversible stainless pocket clip.	<ul><li>Closed Length:4 3/8"</li><li>Steel Edge:8Cr13MoV stainless</li><li>Handle:Black G-10 laminate handles</li><li>Clip:Reversible stainless pocket clip</li></ul>	Spyderco Knives	Spyderco Knives	93.27	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc122gpspydercotenaciousfolder.jpg			
SC122GPS	Spyderco Tenacious Folder	Spyderco Tenacious Folder Partially serrated blade is a 4 3/8" closed linerlock. Partially serrated 8Cr13MoV stainless blade with thumb hole. Black G-10 laminate handles. Lanyard hole. Reversible stainless pocket clip.	<ul><li>Closed Length:4 3/8â€</li><li>Colour:Partially Serrated</li><li>Steel Edge:8Cr13MoV</li><li>Handle:G-10 Laminate</li></ul>	Spyderco Knives	Spyderco Knives	93.27	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc122gpsspydercotenaciousfolder.jpg			
SCLYLP3	Spyderco Ladybug 3 H1	Spyderco Ladybug 3 H1 Standard edge blade. 2 1/2" closed lockback. H1 steel (rustfree) blade with thumb hole pull. Yellow lightweight fiberglass reinforced nylon resin handles with hole for keychain.	<ul><li>Closed Length:2 1/2"</li><li>Steel:Standard edge blade</li></ul>	Spyderco Knives	Spyderco Knives	93.27	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sclylp3spydercoladybug3h1.jpg			
SC122GBBKP	Spyderco Tenacious Linerlock	Spyderco Tenacious Linerlock knife is 4 3/8" closed in length with a 3 3/8" black finish 8Cr13MoV stainless blade. Has black G-10 laminate handles, a lanyard hole, and a reversible black finish stainless pocket clip.	<ul><li>Blade Length:3 3/8"</li><li>Closed Length:4 3/8"</li><li>Blade:Black</li><li>Steel Edge:8Cr13MoV stainless blade</li><li>Handle:Black G-10 laminate handle</li><li>Clip:Reversible black finish stainless pocket clip</li><li>Extras:Lanyard hole</li></ul>	Spyderco Knives	Spyderco Knives	99.93	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc122gbbkpspydercotenaciouslinerlock.jpg			
SC122GBBKPS	Spyderco Tenacious Linerlock	Spyderco Tenacious Linerlock knife is 4 3/8" closed in length with a 3 3/8" black finish 8Cr13MoV stainless partially serrated blade. Has black G-10 laminate handles, a lanyard hole, and a reversible black finish stainless pocket clip.	<ul><li>Blade Length:3 3/8"</li><li>Closed Length:4 3/8"</li><li>Colour:Partially Serrated</li><li>Blade:Black</li><li>Steel Edge:8Cr13MoV</li></ul>	Spyderco Knives	Spyderco Knives	99.93	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc122gbbkpsspydercotenaciouslinerlock.jpg			
SC130GP	Spyderco Chicago	Spyderco Chicago. 3 1/8" closed linerlock. 2" 440C stainless blade with thumb hole. Black G-10 handles with reversible wire style stainless pocket clip. (Note: Many U.S. metropolitan cities - including Chicago - restrict carrying pocket knives in public to knives with blades 2" or under. This knife could be carried legally in Chicago and other cities with this law.)	<ul><li>Blade Length:2â€</li><li>Closed Length:3 1/8â€</li><li>Steel Edge:440C Stainless</li></ul>	Spyderco Knives	Spyderco Knives	99.93	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc130gpspydercochicago.jpg			
SC142GP	Spyderco Resilience G-10 Plain	Spyderco Resilience. 5 1/4" closed linerlock. 4 1/4" 8Cr13MoV stainless standard edge blade with thumb hole pull. Black G-10 handles. Lanyard hole.	<ul><li>Blade Length:4 1/4"</li><li>Closed Length:5 1/4"</li><li>Steel Edge:8Cr13MoV stainless</li><li>Handle:Black G-10 handles</li></ul>	Spyderco Knives	Spyderco Knives	106.60	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc142gpspydercoresilienceg10plain.jpg			
SC129GP	Spyderco Cat	Spyderco Cat. 3 1/2" closed linerlock. 2 1/2" 440C stainless leaf shaped blade with thumb hole. Black G-10 handles with reversible wire style stainless pocket clip.	<ul><li>Blade Length:2 1/2"</li><li>Closed Length:3 1/2"</li><li>Steel Edge:440C stainless</li><li>Handle:Black G-10 handles</li><li>Clip:Reversible wire style stainless pocket clip</li></ul>	Spyderco Knives	Spyderco Knives	106.60	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc129gpspydercocat.jpg			
SC94PBK3	Spyderco UK Pen Knife Black	Spyderco UK Pen Knife Black Standard edge drop point blade Black FRN handles knife has a 4 1/8" closed non-locking folder with a BD-1 stainless blade with thumb hole. The blade is held open by a notched-joint at the knife&acute;s pivot. When closing the blade the notch produces roughly twenty-pounds of resistance, functionally similar to traditional slip-joint pen knives. Developed for the UK market where there are strict restrictions about blade locking mechanisms with a reversible stainless pocket clip.	<ul><li>Closed Length:4 1/8"</li><li>Steel Edge:BD-1 stainless</li><li>Handle:Black FRN handles</li><li>Clip:Reversible stainless pocket clip</li></ul>	Spyderco Knives	Spyderco Knives	113.27	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc94pbk3spydercoukpenknifeblack.jpg			
SC154PBK	Spyderco Squeak Non-Locking	Spyderco Squeak Non-Locking Folder. 3 1/8" closed. 2" N690Co stainless blade with thumb hole. Textured black FRN handles. Stainless wire design pocket clip.	<ul><li>Blade Length:2"</li><li>Closed Length:3 1/8"</li><li>Steel Edge:N690Co stainless</li><li>Handle:Textured black FRN handles</li><li>Clip:Stainless wire design pocket clip</li></ul>	Spyderco Knives	Spyderco Knives	113.27	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc154pbkspydercosqueaknonlocking.jpg			
SC94PBK	Spyderco UK Pen Knife Black	Spyderco UK Pen Knife Black Standard edge leaf shaped blade Black FRN handles knife has a 4 1/8" closed non-locking folder with a BD-1 stainless blade with thumb hole. The blade is held open by a notched-joint at the knife&acute;s pivot and when closing the blade the notch produces roughly twenty-pounds of resistance, functionally similar to traditional slip-joint pen knives. Developed for the UK market where there are strict restrictions about blade locking mechanisms with a reversible stainless pocket clip.	<ul><li>Closed Length:4 1/8"</li><li>Clip:Reversible stainless pocket clip</li></ul>	Spyderco Knives	Spyderco Knives	113.27	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc94pbkspydercoukpenknifeblack.jpg			
SC28PBK2	Spyderco Dragonfly 2 Plain	Spyderco Dragonfly 2 Standard Edge Blade. 3 3/8" closed lockback. 2 3/8" VG-10 stainless blade with thumb hole pull. Black lightweight FRN handles with lanyard hole. Wire pocket clip.	<ul><li>Blade Length:2 3/8"</li><li>Closed Length:3 3/8"</li><li>Steel Edge:VG-10 stainless</li><li>Handle:Black lightweight FRN handles</li><li>Clip:Wire pocket clip</li></ul>	Spyderco Knives	Spyderco Knives	119.93	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc28pbk2spydercodragonfly2plain33.jpg			
SC28SBK2	Spyderco Dragonfly 2 Serrated	Spyderco Dragonfly 2 Serrated blade has a 3 3/8" closed lockback with a 2 3/8" VG-10 stainless blade with thumb hole pull with a Black lightweight FRN handles with lanyard hole and it has a wire pocket clip.	<ul><li>Handle:Black lightweight FRN handles</li><li>Clip:Wire pocket clip</li></ul>	Spyderco Knives	Spyderco Knives	119.93	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc28sbk2spydercodragonfly2serrated.jpg			
SC28PYL2	Spyderco Dragonfly 2	Spyderco Dragonfly 2. 3 3/8" closed lockback. 2 3/8" H1 stainless blade with thumb hole. Yellow lightweight FRN handles with lanyard hole. Wire pocket clip.	<ul><li>Blade Length:2 3/8"</li><li>Closed Length:3 3/8"</li><li>Blade:Yellow</li><li>Steel Edge:H1 stainless</li><li>Handle:Yellow lightweight FRN handles</li><li>Clip:Wire pocket clip</li></ul>	Spyderco Knives	Spyderco Knives	126.60	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc28pyl2spydercodragonfly2.jpg			
SC88SYL	Spyderco Salt 1 Yellow SC88SYL	Spyderco Salt I Serrated blade has Yellow handles, and a 4" closed lockback. H1 steel blade with thumb hole pull with Checkered fiberglass reinforced nylon handles with reversible black coated stainless pocket clip.	<ul><li>Handle:Checkered fiberglass reinforced nylon handles</li><li>Clip:Reversible black coated stainless pocket clip</li></ul>	Spyderco Knives	Spyderco Knives	159.93	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc88sylspydercosalt1yellow.jpg			
SC28S	Spyderco Dragonfly Stainless	Spyderco Dragonfly Serrated blade knife has a 3 1/4" closed lockback, VG-10 stainless blade with thumb hole pull with Stainless handles, a stainless pocket clip, and a Lanyard hole.	<ul><li>Closed Length:3 1/4"</li><li>Steel Edge:VG-10 stainless</li><li>Handle:Stainless handles</li><li>Clip:Stainless pocket clip</li></ul>	Spyderco Knives	Spyderco Knives	139.93	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc28sspydercodragonflystainless.jpg			
SC204	Spyderco TriAngle Sharpmaker	Spyderco Tri-Angle Sharpmaker Includes two fine and two medium grit triangle shaped ceramic stones which slide into precisely angled keyholes that are molded into a strong polymer base. 40Â° angle for sharpening, 30Â° angle for back beveling and 12.5Â° angle for sharpening scissors and flip base over and two stones fit in to provide a bench sharpener. Includes two brass rods to protect userâ€™s hands, all parts store inside base, and lid snaps on making a self contained unit and includes instruction booklet and DVD.		Spyderco Knives	Spyderco Knives	139.93	CDN	Y	http://www.knifezone.ca/pictures/spyderco/images/sc204spydercotrianglesharpmaker.jpg			
